date,destination,bookings,searches,cancellations,adr,room_nights
2022-03-18,UKR,28,59,9,83.03,71.65
2022-03-19,UKR,46,110,18,85.49,121.57
2022-03-20,UKR,40,90,12,90.9,100.86
2022-03-21,UKR,41,80,12,87.52,122.37
2022-03-22,UKR,40,92,13,88.4,111.69
2022-03-23,UKR,29,63,11,90.92,79.11
2022-03-24,UKR,32,52,10,86.43,89.34
2022-03-25,UKR,50,113,17,88.24,132.74
2022-03-26,UKR,45,100,16,90.96,133.87
2022-03-27,UKR,46,75,16,91.55,116.04
2022-03-28,UKR,40,77,14,85.41,111.88
2022-03-29,UKR,51,93,17,88.4,138.08
2022-03-30,UKR,36,74,12,93.3,107.94
2022-03-31,UKR,49,83,16,86.77,133.54
2022-04-01,UKR,46,83,13,90.72,129.22
2022-04-02,UKR,39,87,12,91.78,107.64
2022-04-03,UKR,46,74,15,88.63,118.08
2022-04-04,UKR,44,70,14,87.07,113.0
2022-04-05,UKR,38,69,11,89.23,112.18
2022-04-06,UKR,43,97,12,91.02,126.04
2022-04-07,UKR,38,88,11,87.88,103.72
2022-04-08,UKR,39,64,11,87.84,98.98
2022-04-09,UKR,38,68,10,91.59,98.46
2022-04-10,UKR,55,87,16,87.47,142.79
2022-04-11,UKR,35,65,9,86.83,89.61
2022-04-12,UKR,36,77,10,92.39,90.71
2022-04-13,UKR,41,72,12,94.59,103.75
2022-04-14,UKR,51,95,13,88.24,136.95
2022-04-15,UKR,45,77,12,93.23,113.33
2022-04-16,UKR,59,110,16,91.37,150.66
2022-04-17,UKR,49,85,12,90.06,122.99
2022-04-18,UKR,38,76,9,94.83,106.28
2022-04-19,UKR,50,100,11,91.7,139.67
2022-04-20,UKR,41,79,10,90.19,115.74
2022-04-21,UKR,48,78,12,89.12,122.44
2022-04-22,UKR,39,83,9,89.64,100.88
2022-04-23,UKR,45,81,11,96.11,115.02
2022-04-24,UKR,69,139,18,89.54,178.4
2022-04-25,UKR,57,93,14,89.82,164.43
2022-04-26,UKR,44,85,10,89.54,112.53
2022-04-27,UKR,45,68,10,91.8,124.48
2022-04-28,UKR,42,86,9,96.55,111.77
2022-04-29,UKR,46,82,11,92.99,125.85
2022-04-30,UKR,58,118,14,96.46,148.6
2022-05-01,UKR,69,142,14,94.45,192.32
2022-05-02,UKR,50,101,10,89.18,129.11
2022-05-03,UKR,59,120,12,95.83,159.08
2022-05-04,UKR,53,96,11,90.56,152.31
2022-05-05,UKR,54,102,11,92.85,159.47
2022-05-06,UKR,52,106,11,90.97,133.62
2022-05-07,UKR,69,118,16,95.22,177.73
2022-05-08,UKR,63,129,12,93.25,181.52
2022-05-09,UKR,58,99,11,95.85,148.7
2022-05-10,UKR,61,114,11,94.75,174.46
2022-05-11,UKR,64,133,12,91.3,165.81
2022-05-12,UKR,60,112,12,96.92,154.6
2022-05-13,UKR,61,111,11,96.27,180.93
2022-05-14,UKR,81,152,16,89.63,225.84
2022-05-15,UKR,71,109,15,96.84,193.5
2022-05-16,UKR,78,138,13,96.84,228.93
2022-05-17,UKR,63,88,10,91.43,182.79
2022-05-18,UKR,57,94,10,96.9,152.37
2022-05-19,UKR,68,103,11,92.59,174.79
2022-05-20,UKR,62,117,12,91.78,173.0
2022-05-21,UKR,61,103,10,97.38,157.03
2022-05-22,UKR,67,130,12,94.01,169.75
2022-05-23,UKR,61,105,10,90.27,153.61
2022-05-24,UKR,61,105,11,92.74,168.49
2022-05-25,UKR,63,129,10,90.24,184.65
2022-05-26,UKR,59,88,9,93.14,148.25
2022-05-27,UKR,73,131,9,91.39,190.93
2022-05-28,UKR,56,87,9,90.98,158.28
2022-05-29,UKR,60,99,9,97.34,174.91
2022-05-30,UKR,65,93,9,97.73,162.92
2022-05-31,UKR,52,102,7,94.78,140.96
2022-06-01,UKR,87,135,12,92.87,243.18
2022-06-02,UKR,82,166,12,93.4,217.07
2022-06-03,UKR,82,160,13,93.88,241.68
2022-06-04,UKR,81,125,11,94.39,228.16
2022-06-05,UKR,84,132,13,94.24,217.21
2022-06-06,UKR,70,121,9,94.72,184.59
2022-06-07,UKR,90,177,12,89.4,231.16
2022-06-08,UKR,94,189,14,95.55,243.24
2022-06-09,UKR,75,141,11,89.74,193.74
2022-06-10,UKR,68,109,9,92.96,179.82
2022-06-11,UKR,96,194,14,93.77,271.86
2022-06-12,UKR,95,132,12,91.77,265.77
2022-06-13,UKR,81,115,11,96.55,206.82
2022-06-14,UKR,87,169,13,93.39,228.22
2022-06-15,UKR,93,133,13,94.85,249.29
2022-06-16,UKR,86,153,14,93.49,222.96
2022-06-17,UKR,96,190,15,95.49,273.23
2022-06-18,UKR,83,115,11,98.58,246.68
2022-06-19,UKR,108,149,14,94.64,319.44
2022-06-20,UKR,83,143,13,98.43,246.69
2022-06-21,UKR,98,173,13,97.09,246.81
2022-06-22,UKR,66,123,9,95.85,176.22
2022-06-23,UKR,64,115,9,96.73,170.2
2022-06-24,UKR,95,131,13,89.53,278.83
2022-06-25,UKR,106,173,17,96.81,317.89
2022-06-26,UKR,100,204,14,95.2,293.68
2022-06-27,UKR,87,125,12,96.23,227.89
2022-06-28,UKR,72,99,10,91.5,181.52
2022-06-29,UKR,94,189,13,95.69,245.26
2022-06-30,UKR,82,139,12,97.56,243.73
2022-07-01,UKR,98,181,16,91.48,291.19
2022-07-02,UKR,120,178,16,90.96,313.23
2022-07-03,UKR,124,246,16,98.41,364.79
2022-07-04,UKR,112,165,16,96.43,318.98
2022-07-05,UKR,107,187,14,94.35,299.22
2022-07-06,UKR,90,181,12,90.52,264.99
2022-07-07,UKR,122,202,18,94.48,310.31
2022-07-08,UKR,91,140,14,93.96,231.19
2022-07-09,UKR,113,204,18,93.95,309.65
2022-07-10,UKR,126,250,19,94.62,331.82
2022-07-11,UKR,116,228,18,97.45,331.09
2022-07-12,UKR,112,223,17,96.38,288.88
2022-07-13,UKR,104,198,16,90.51,277.43
2022-07-14,UKR,92,145,14,94.07,230.29
2022-07-15,UKR,115,201,17,91.74,323.96
2022-07-16,UKR,118,191,18,94.39,351.82
2022-07-17,UKR,132,185,17,98.11,375.4
2022-07-18,UKR,96,170,12,94.77,256.6
2022-07-19,UKR,88,130,14,98.41,252.98
2022-07-20,UKR,100,188,13,92.34,274.43
2022-07-21,UKR,107,179,15,98.67,290.3
2022-07-22,UKR,92,170,14,91.38,233.79
2022-07-23,UKR,117,240,19,90.72,317.79
2022-07-24,UKR,115,189,16,91.88,344.08
2022-07-25,UKR,110,178,15,89.59,310.84
2022-07-26,UKR,114,220,18,91.04,334.51
2022-07-27,UKR,119,167,18,95.19,305.31
2022-07-28,UKR,120,176,18,93.83,307.04
2022-07-29,UKR,106,186,14,93.92,268.4
2022-07-30,UKR,111,157,15,93.58,278.14
2022-07-31,UKR,110,216,16,92.04,313.22
2022-08-01,UKR,122,249,17,90.29,319.76
2022-08-02,UKR,103,142,15,95.9,286.32
2022-08-03,UKR,113,160,15,92.6,284.38
2022-08-04,UKR,107,162,16,95.78,310.33
2022-08-05,UKR,96,194,14,95.94,241.52
2022-08-06,UKR,115,222,17,97.49,328.56
2022-08-07,UKR,138,264,18,97.71,382.78
2022-08-08,UKR,122,173,18,96.18,309.98
2022-08-09,UKR,101,164,16,91.36,301.78
2022-08-10,UKR,112,210,17,93.98,311.1
2022-08-11,UKR,118,220,19,95.41,306.77
2022-08-12,UKR,91,169,12,93.65,267.01
2022-08-13,UKR,150,209,21,92.79,449.07
2022-08-14,UKR,162,319,23,96.12,444.42
2022-08-15,UKR,138,208,19,94.87,407.95
2022-08-16,UKR,130,262,20,90.54,371.53
2022-08-17,UKR,100,173,16,91.0,292.72
2022-08-18,UKR,117,208,17,94.14,313.52
2022-08-19,UKR,102,165,16,91.73,288.49
2022-08-20,UKR,143,207,23,93.57,374.38
2022-08-21,UKR,121,186,17,97.09,328.57
2022-08-22,UKR,132,246,18,90.88,332.42
2022-08-23,UKR,128,255,20,96.87,357.46
2022-08-24,UKR,99,197,13,89.84,273.79
2022-08-25,UKR,91,156,13,98.08,241.89
2022-08-26,UKR,92,190,15,98.37,230.23
2022-08-27,UKR,158,288,22,94.15,433.62
2022-08-28,UKR,108,197,15,95.92,280.9
2022-08-29,UKR,132,199,20,93.47,387.3
2022-08-30,UKR,139,253,22,95.72,382.05
2022-08-31,UKR,141,255,18,98.05,401.11
2022-09-01,UKR,124,225,17,95.42,316.61
2022-09-02,UKR,148,287,24,93.12,434.44
2022-09-03,UKR,168,311,26,93.1,447.47
2022-09-04,UKR,185,271,28,93.39,538.15
2022-09-05,UKR,125,230,17,92.74,337.26
2022-09-06,UKR,129,182,17,92.81,337.16
2022-09-07,UKR,146,289,22,93.66,392.72
2022-09-08,UKR,137,223,18,92.51,368.54
2022-09-09,UKR,141,264,21,96.49,409.82
2022-09-10,UKR,167,329,22,89.37,471.56
2022-09-11,UKR,153,218,20,98.08,409.4
2022-09-12,UKR,129,224,18,92.19,374.3
2022-09-13,UKR,129,188,19,91.86,349.17
2022-09-14,UKR,123,176,16,94.24,351.11
2022-09-15,UKR,133,236,21,93.85,386.1
2022-09-16,UKR,114,228,18,94.96,331.69
2022-09-17,UKR,132,263,19,93.16,385.43
2022-09-18,UKR,140,234,21,91.88,407.58
2022-09-19,UKR,134,200,20,93.55,374.3
2022-09-20,UKR,160,287,21,90.2,401.89
2022-09-21,UKR,144,244,19,92.97,402.8
2022-09-22,UKR,151,284,23,93.1,409.83
2022-09-23,UKR,161,282,21,90.28,460.81
2022-09-24,UKR,131,206,17,97.71,340.07
2022-09-25,UKR,136,259,18,94.18,344.6
2022-09-26,UKR,123,198,19,95.42,340.28
2022-09-27,UKR,132,251,21,95.52,366.81
2022-09-28,UKR,123,228,18,98.3,318.28
2022-09-29,UKR,121,193,16,93.53,348.25
2022-09-30,UKR,154,230,24,91.51,415.75
2022-10-01,UKR,212,383,31,97.22,585.22
2022-10-02,UKR,143,263,19,97.07,413.42
2022-10-03,UKR,111,222,15,92.69,282.36
2022-10-04,UKR,139,238,19,93.5,389.24
2022-10-05,UKR,166,339,27,97.3,432.31
2022-10-06,UKR,128,246,18,97.55,375.56
2022-10-07,UKR,152,278,20,93.09,393.19
2022-10-08,UKR,168,331,25,97.03,431.13
2022-10-09,UKR,191,329,28,96.49,494.2
2022-10-10,UKR,127,186,18,89.94,319.14
2022-10-11,UKR,170,296,27,93.37,451.5
2022-10-12,UKR,128,234,19,91.33,359.65
2022-10-13,UKR,112,232,17,93.62,283.26
2022-10-14,UKR,122,179,19,91.55,313.68
2022-10-15,UKR,139,288,21,89.89,382.9
2022-10-16,UKR,188,312,26,95.16,519.54
2022-10-17,UKR,131,217,19,91.13,351.59
2022-10-18,UKR,168,289,26,89.4,454.96
2022-10-19,UKR,109,167,17,90.59,301.67
2022-10-20,UKR,109,188,17,96.83,324.8
2022-10-21,UKR,121,206,17,97.24,308.43
2022-10-22,UKR,136,226,21,93.77,365.56
2022-10-23,UKR,170,274,27,98.28,491.89
2022-10-24,UKR,151,298,20,97.2,380.4
2022-10-25,UKR,144,259,21,97.71,405.84
2022-10-26,UKR,118,215,16,96.23,325.22
2022-10-27,UKR,107,148,16,89.98,271.31
2022-10-28,UKR,177,336,25,92.09,473.45
2022-10-29,UKR,163,307,22,90.22,461.31
2022-10-30,UKR,134,251,17,98.4,354.79
2022-10-31,UKR,146,276,20,90.44,409.9
2022-11-01,UKR,146,227,19,98.4,423.31
2022-11-02,UKR,167,304,24,96.33,485.28
2022-11-03,UKR,113,191,18,91.41,303.53
2022-11-04,UKR,137,210,22,91.56,350.82
2022-11-05,UKR,187,364,26,96.97,548.04
2022-11-06,UKR,175,331,27,93.63,511.17
2022-11-07,UKR,157,314,21,94.42,469.8
2022-11-08,UKR,105,158,14,96.12,305.43
2022-11-09,UKR,147,254,22,94.4,410.89
2022-11-10,UKR,128,244,19,97.51,360.72
2022-11-11,UKR,118,239,15,91.62,337.86
2022-11-12,UKR,130,246,20,91.22,361.08
2022-11-13,UKR,155,213,22,96.67,430.45
2022-11-14,UKR,138,226,21,91.2,411.11
2022-11-15,UKR,119,192,16,97.54,356.78
2022-11-16,UKR,141,236,22,94.87,380.1
2022-11-17,UKR,133,192,20,92.64,385.31
2022-11-18,UKR,142,251,21,89.91,396.18
2022-11-19,UKR,165,322,25,96.87,434.76
2022-11-20,UKR,145,266,19,92.44,419.41
2022-11-21,UKR,154,257,22,90.69,410.27
2022-11-22,UKR,108,218,16,96.22,323.91
2022-11-23,UKR,143,237,21,96.69,365.96
2022-11-24,UKR,153,248,22,94.83,396.61
2022-11-25,UKR,116,198,15,97.12,305.84
2022-11-26,UKR,158,305,21,93.34,463.95
2022-11-27,UKR,147,210,21,93.84,377.31
2022-11-28,UKR,150,222,21,96.16,432.41
2022-11-29,UKR,133,190,20,95.48,396.11
2022-11-30,UKR,108,166,15,91.62,318.94
2022-12-01,UKR,117,200,17,96.6,296.32
2022-12-02,UKR,91,152,14,90.61,251.73
2022-12-03,UKR,143,247,18,95.54,426.38
2022-12-04,UKR,151,308,21,91.75,432.68
2022-12-05,UKR,114,230,15,94.61,311.44
2022-12-06,UKR,124,189,16,90.72,323.97
2022-12-07,UKR,142,265,20,90.38,416.07
2022-12-08,UKR,106,180,15,90.07,289.29
2022-12-09,UKR,116,194,18,95.59,316.81
2022-12-10,UKR,151,252,20,94.12,438.38
2022-12-11,UKR,123,194,16,91.73,317.63
2022-12-12,UKR,136,265,18,97.55,399.81
2022-12-13,UKR,109,156,17,96.56,273.98
2022-12-14,UKR,131,239,19,93.98,334.41
2022-12-15,UKR,135,236,21,98.37,351.25
2022-12-16,UKR,119,196,17,95.27,344.98
2022-12-17,UKR,166,261,22,95.84,480.84
2022-12-18,UKR,175,263,24,98.55,449.81
2022-12-19,UKR,116,209,17,90.73,315.54
2022-12-20,UKR,110,184,17,94.05,328.19
2022-12-21,UKR,152,253,22,90.86,447.03
2022-12-22,UKR,96,191,14,94.26,274.53
2022-12-23,UKR,107,184,14,97.37,311.32
2022-12-24,UKR,148,239,21,97.02,403.99
2022-12-25,UKR,151,292,21,90.93,431.26
2022-12-26,UKR,98,183,13,92.57,267.07
2022-12-27,UKR,134,273,19,97.21,366.58
2022-12-28,UKR,120,171,18,92.36,341.18
2022-12-29,UKR,115,206,15,97.17,303.56
2022-12-30,UKR,133,209,18,91.3,334.71
2022-12-31,UKR,164,304,26,96.5,474.65
2023-01-01,UKR,115,194,17,94.57,293.88
2023-01-02,UKR,108,157,16,92.88,322.75
2023-01-03,UKR,90,178,14,97.93,237.6
2023-01-04,UKR,102,208,15,96.87,255.92
2023-01-05,UKR,108,158,17,91.95,317.13
2023-01-06,UKR,112,188,15,91.57,280.69
2023-01-07,UKR,111,155,15,92.12,318.75
2023-01-08,UKR,147,222,22,94.88,433.08
2023-01-09,UKR,81,167,12,89.63,226.1
2023-01-10,UKR,118,169,15,97.11,330.34
2023-01-11,UKR,93,165,14,97.1,273.37
2023-01-12,UKR,102,181,14,93.39,294.47
2023-01-13,UKR,118,219,17,95.23,329.91
2023-01-14,UKR,106,191,14,92.91,290.85
2023-01-15,UKR,142,204,22,94.06,400.02
2023-01-16,UKR,90,141,13,89.73,231.3
2023-01-17,UKR,118,185,17,91.14,331.04
2023-01-18,UKR,91,126,12,89.37,237.47
2023-01-19,UKR,84,133,13,94.68,231.53
2023-01-20,UKR,118,187,15,95.1,301.72
2023-01-21,UKR,128,187,18,95.9,383.54
2023-01-22,UKR,105,195,15,93.16,310.15
2023-01-23,UKR,103,143,16,98.28,299.79
2023-01-24,UKR,99,181,13,89.86,277.39
2023-01-25,UKR,85,141,12,92.77,217.64
2023-01-26,UKR,104,189,14,92.63,308.97
2023-01-27,UKR,107,215,16,89.4,301.53
2023-01-28,UKR,133,190,20,90.43,392.51
2023-01-29,UKR,112,188,14,93.27,296.52
2023-01-30,UKR,97,180,13,94.55,259.14
2023-01-31,UKR,117,184,18,93.34,331.87
2023-02-01,UKR,81,158,11,96.8,235.81
2023-02-02,UKR,95,169,13,94.77,255.13
2023-02-03,UKR,93,136,13,90.87,252.52
2023-02-04,UKR,106,190,14,89.54,299.23
2023-02-05,UKR,81,144,11,92.23,229.92
2023-02-06,UKR,74,110,12,93.57,210.47
2023-02-07,UKR,74,104,11,98.36,199.22
2023-02-08,UKR,66,111,9,89.52,189.96
2023-02-09,UKR,82,161,11,98.29,217.87
2023-02-10,UKR,92,153,15,92.01,274.21
2023-02-11,UKR,88,154,13,90.75,244.36
2023-02-12,UKR,112,169,16,92.14,294.52
2023-02-13,UKR,66,106,9,98.38,183.4
2023-02-14,UKR,79,130,11,95.19,216.81
2023-02-15,UKR,107,162,16,94.65,300.71
2023-02-16,UKR,72,146,10,94.4,188.2
2023-02-17,UKR,100,191,14,97.48,256.53
2023-02-18,UKR,86,126,12,97.54,255.59
2023-02-19,UKR,103,168,15,97.42,287.82
2023-02-20,UKR,71,123,11,92.93,195.65
2023-02-21,UKR,92,177,15,93.13,268.07
2023-02-22,UKR,93,154,12,90.33,272.21
2023-02-23,UKR,102,173,13,97.6,277.86
2023-02-24,UKR,94,173,12,93.78,267.32
2023-02-25,UKR,95,148,13,92.67,275.71
2023-02-26,UKR,92,176,12,98.68,261.13
2023-02-27,UKR,69,102,10,97.14,198.05
2023-02-28,UKR,96,172,14,96.5,280.6
2023-03-01,UKR,56,78,7,93.13,151.4
2023-03-02,UKR,59,121,9,98.21,149.63
2023-03-03,UKR,66,122,9,94.01,191.22
2023-03-04,UKR,58,90,8,92.08,151.74
2023-03-05,UKR,95,160,13,97.82,252.77
2023-03-06,UKR,62,114,10,94.97,166.09
2023-03-07,UKR,62,112,9,93.52,173.16
2023-03-08,UKR,58,111,8,96.01,168.85
2023-03-09,UKR,69,117,9,96.59,181.86
2023-03-10,UKR,57,90,8,89.81,163.84
2023-03-11,UKR,62,87,8,91.9,176.92
2023-03-12,UKR,80,115,11,96.26,212.65
2023-03-13,UKR,61,121,9,92.25,176.56
2023-03-14,UKR,71,131,10,98.36,180.67
2023-03-15,UKR,66,99,10,95.92,165.14
2023-03-16,UKR,76,143,12,96.45,226.13
2023-03-17,UKR,57,93,9,95.36,143.87
2023-03-18,UKR,92,149,13,93.6,239.61
2023-03-19,UKR,67,132,10,93.22,195.04
2023-03-20,UKR,62,114,9,97.57,161.69
2023-03-21,UKR,68,107,9,95.43,195.11
2023-03-22,UKR,70,111,11,91.17,206.16
2023-03-23,UKR,59,114,8,94.15,155.39
2023-03-24,UKR,53,87,7,89.48,135.8
2023-03-25,UKR,76,129,11,94.89,190.38
2023-03-26,UKR,93,178,14,92.23,268.49
2023-03-27,UKR,75,143,10,89.46,216.38
2023-03-28,UKR,55,94,7,92.06,158.76
2023-03-29,UKR,62,125,8,92.12,175.04
2023-03-30,UKR,70,119,11,96.66,202.31
2023-03-31,UKR,63,106,8,91.45,165.27
2023-04-01,UKR,78,147,10,98.3,231.77
2023-04-02,UKR,87,135,14,90.01,233.41
2023-04-03,UKR,51,76,8,96.64,142.25
2023-04-04,UKR,72,115,10,95.64,189.36
2023-04-05,UKR,70,99,10,97.67,199.77
2023-04-06,UKR,48,98,7,93.51,123.22
2023-04-07,UKR,60,94,9,95.69,152.29
2023-04-08,UKR,80,120,12,93.37,201.76
2023-04-09,UKR,66,126,9,97.23,197.38
2023-04-10,UKR,68,142,11,91.15,202.35
2023-04-11,UKR,74,132,11,91.74,201.17
2023-04-12,UKR,53,106,8,91.09,153.5
2023-04-13,UKR,80,119,12,98.49,230.29
2023-04-14,UKR,65,96,9,95.32,184.16
2023-04-15,UKR,78,126,11,89.41,195.35
2023-04-16,UKR,80,157,12,91.39,212.87
2023-04-17,UKR,63,115,9,89.57,172.65
2023-04-18,UKR,51,71,7,97.94,152.83
2023-04-19,UKR,67,135,9,96.39,198.27
2023-04-20,UKR,63,103,10,91.66,175.27
2023-04-21,UKR,63,107,8,97.93,160.71
2023-04-22,UKR,58,89,7,90.95,170.14
2023-04-23,UKR,86,162,12,94.75,237.22
2023-04-24,UKR,55,93,9,98.2,162.05
2023-04-25,UKR,69,104,10,91.22,192.89
2023-04-26,UKR,63,125,8,89.97,159.67
2023-04-27,UKR,62,116,10,97.16,165.3
2023-04-28,UKR,72,112,10,97.53,199.41
2023-04-29,UKR,63,103,8,96.5,157.5
2023-04-30,UKR,66,106,11,91.43,175.04
2023-05-01,UKR,55,101,8,98.39,143.67
2023-05-02,UKR,80,148,11,92.15,213.01
2023-05-03,UKR,72,147,10,97.78,209.04
2023-05-04,UKR,74,130,11,95.51,187.9
2023-05-05,UKR,69,98,11,94.79,205.35
2023-05-06,UKR,73,105,10,96.02,210.2
2023-05-07,UKR,79,146,11,98.07,230.19
2023-05-08,UKR,74,148,12,95.83,211.97
2023-05-09,UKR,66,134,9,92.55,176.08
2023-05-10,UKR,81,139,12,94.58,240.86
2023-05-11,UKR,61,85,9,96.2,164.22
2023-05-12,UKR,70,109,11,98.42,190.32
2023-05-13,UKR,90,155,13,98.39,227.33
2023-05-14,UKR,92,150,12,96.82,255.42
2023-05-15,UKR,63,122,8,92.21,166.64
2023-05-16,UKR,77,148,10,95.17,214.51
2023-05-17,UKR,72,114,11,89.79,199.76
2023-05-18,UKR,61,101,9,92.44,174.85
2023-05-19,UKR,60,95,8,93.37,170.56
2023-05-20,UKR,63,115,10,95.33,178.65
2023-05-21,UKR,68,107,10,90.25,179.45
2023-05-22,UKR,73,146,9,94.18,189.05
2023-05-23,UKR,57,93,9,95.92,154.55
2023-05-24,UKR,63,97,8,93.84,165.96
2023-05-25,UKR,80,163,12,90.02,203.02
2023-05-26,UKR,58,91,9,95.16,163.81
2023-05-27,UKR,69,122,9,95.65,196.88
2023-05-28,UKR,70,101,10,97.44,208.14
2023-05-29,UKR,64,115,10,97.6,166.48
2023-05-30,UKR,77,119,11,89.44,214.94
2023-05-31,UKR,73,133,10,97.19,189.38
2023-06-01,UKR,92,171,12,93.38,234.26
2023-06-02,UKR,96,131,13,93.38,274.73
2023-06-03,UKR,102,147,15,91.58,291.42
2023-06-04,UKR,91,140,14,89.43,238.8
2023-06-05,UKR,72,127,9,93.61,206.38
2023-06-06,UKR,82,161,13,97.18,238.01
2023-06-07,UKR,99,184,13,95.1,284.27
2023-06-08,UKR,77,134,11,97.96,215.0
2023-06-09,UKR,74,127,12,95.56,214.13
2023-06-10,UKR,96,175,14,93.32,261.24
2023-06-11,UKR,104,146,16,92.05,283.08
2023-06-12,UKR,77,110,10,93.92,228.19
2023-06-13,UKR,91,136,14,91.75,234.76
2023-06-14,UKR,65,121,10,97.59,188.96
2023-06-15,UKR,68,117,9,91.65,187.51
2023-06-16,UKR,77,156,12,96.72,204.35
2023-06-17,UKR,110,216,15,94.05,326.76
2023-06-18,UKR,80,158,12,94.03,207.75
2023-06-19,UKR,96,174,15,96.33,261.08
2023-06-20,UKR,75,108,10,95.82,196.11
2023-06-21,UKR,66,99,10,96.18,181.99
2023-06-22,UKR,63,100,8,97.67,165.11
2023-06-23,UKR,67,95,10,95.01,175.72
2023-06-24,UKR,88,153,12,98.32,247.12
2023-06-25,UKR,92,137,13,95.85,262.3
2023-06-26,UKR,83,122,13,95.24,229.6
2023-06-27,UKR,81,122,11,90.64,230.53
2023-06-28,UKR,87,120,12,94.07,235.74
2023-06-29,UKR,86,158,12,94.57,242.02
2023-06-30,UKR,68,132,10,94.34,198.43
2023-07-01,UKR,137,204,19,96.74,373.41
2023-07-02,UKR,149,286,21,90.01,401.39
2023-07-03,UKR,115,198,15,97.55,309.89
2023-07-04,UKR,114,220,17,90.0,306.4
2023-07-05,UKR,113,182,16,92.32,294.94
2023-07-06,UKR,91,166,13,93.66,260.38
2023-07-07,UKR,103,141,14,95.52,282.43
2023-07-08,UKR,143,254,21,89.92,412.31
2023-07-09,UKR,142,263,22,94.17,364.96
2023-07-10,UKR,116,216,15,91.13,341.64
2023-07-11,UKR,129,229,19,95.45,379.85
2023-07-12,UKR,103,156,15,96.03,271.45
