date,origin_country,destination_id,visa_applications,visa_issued,visa_rejected,visa_type,processing_days
2022-01-19,IND,ISR,781,585,196,Transit,8.8
2022-01-19,NLD,ROU,217,165,52,Tourist,16.1
2022-01-19,JPN,TUR,689,638,51,Family,4.4
2022-01-19,NLD,ARE,281,211,70,Tourist,26.0
2022-01-19,AUS,ITA,420,360,60,Tourist,18.3
2022-01-19,AUS,USA,761,686,75,Tourist,10.3
2022-01-19,DEU,FRA,666,499,167,Business,20.9
2022-01-19,AUS,ARE,188,153,35,Business,21.2
2022-01-19,IND,PRT,624,611,13,Business,18.1
2022-01-19,JPN,EGY,192,144,48,Family,8.8
2022-01-20,USA,ITA,495,437,58,Tourist,23.6
2022-01-20,NLD,ROU,732,717,15,Transit,9.0
2022-01-20,FRA,UKR,437,355,82,Family,19.0
2022-01-20,JPN,ISR,415,364,51,Family,9.4
2022-01-20,NLD,EGY,644,542,102,Transit,18.9
2022-01-20,DEU,DEU,430,395,35,Family,4.3
2022-01-20,FRA,UKR,105,88,17,Business,7.1
2022-01-21,GBR,EGY,759,652,107,Tourist,14.0
2022-01-21,CHN,SAU,714,583,131,Business,8.5
2022-01-21,FRA,GBR,609,521,88,Business,4.3
2022-01-21,GBR,JOR,789,655,134,Transit,8.2
2022-01-21,IND,MDA,307,230,77,Family,12.1
2022-01-21,FRA,TUR,444,334,110,Transit,27.0
2022-01-21,USA,ESP,545,462,83,Business,15.6
2022-01-21,AUS,RUS,527,399,128,Transit,8.9
2022-01-21,CHN,ESP,509,458,51,Family,19.1
2022-01-22,IND,ROU,685,631,54,Business,5.2
2022-01-22,IND,ROU,200,150,50,Transit,20.9
2022-01-22,CHN,USA,137,102,35,Transit,21.9
2022-01-22,DEU,THA,41,39,2,Transit,6.3
2022-01-22,CHN,ITA,490,417,73,Family,9.0
2022-01-22,FRA,RUS,579,528,51,Family,27.7
2022-01-22,USA,FRA,160,152,8,Transit,13.5
2022-01-23,NLD,TUR,517,387,130,Tourist,7.2
2022-01-23,NLD,JOR,537,455,82,Family,10.8
2022-01-23,NLD,LBN,303,291,12,Transit,9.4
2022-01-23,CAN,NLD,547,518,29,Family,3.2
2022-01-23,CAN,NLD,74,62,12,Transit,26.4
2022-01-23,JPN,ARE,344,285,59,Family,4.1
2022-01-23,FRA,ARE,111,95,16,Family,6.5
2022-01-24,CHN,JOR,199,149,50,Family,17.9
2022-01-24,FRA,JOR,260,217,43,Transit,26.9
2022-01-24,AUS,USA,498,429,69,Transit,18.3
2022-01-24,GBR,PRT,306,273,33,Transit,3.6
2022-01-24,CAN,CYP,649,532,117,Family,12.8
2022-01-24,NLD,NLD,726,629,97,Business,11.5
2022-01-24,CHN,EGY,505,416,89,Tourist,5.0
2022-01-24,NLD,PRT,227,182,45,Family,13.8
2022-01-24,DEU,ARE,103,97,6,Business,12.7
2022-01-25,NLD,ISR,406,354,52,Tourist,11.6
2022-01-25,USA,PRT,432,411,21,Family,8.9
2022-01-25,IND,SAU,667,577,90,Transit,4.1
2022-01-25,IND,ESP,532,453,79,Transit,10.9
2022-01-25,CHN,LBN,583,508,75,Family,11.6
2022-01-25,AUS,GRC,616,549,67,Family,5.5
2022-01-25,CAN,FRA,775,630,145,Business,4.0
2022-01-25,JPN,MDA,682,511,171,Business,27.9
2022-01-25,AUS,MDA,500,375,125,Transit,26.0
2022-01-25,FRA,JOR,654,577,77,Family,9.5
2022-01-26,FRA,LBN,247,211,36,Transit,18.9
2022-01-26,JPN,MDA,743,696,47,Business,20.4
2022-01-26,FRA,GBR,401,383,18,Transit,25.3
2022-01-26,NLD,FRA,797,733,64,Business,23.1
2022-01-26,DEU,MDA,771,726,45,Business,7.2
2022-01-27,NLD,ISR,784,740,44,Business,9.1
2022-01-27,NLD,FRA,443,355,88,Business,6.6
2022-01-27,JPN,ARE,252,238,14,Business,19.4
2022-01-27,CAN,UKR,476,366,110,Business,17.3
2022-01-27,USA,UKR,642,629,13,Business,6.8
2022-01-27,JPN,NLD,408,363,45,Family,16.2
2022-01-27,IND,NLD,752,692,60,Family,9.8
2022-01-27,GBR,SAU,75,62,13,Family,6.2
2022-01-28,JPN,CYP,206,174,32,Business,25.7
2022-01-28,DEU,JOR,590,471,119,Tourist,14.8
2022-01-28,USA,POL,514,442,72,Transit,21.0
2022-01-28,FRA,CYP,718,538,180,Transit,24.5
2022-01-28,NLD,POL,548,411,137,Transit,6.1
2022-01-28,USA,ARE,282,252,30,Family,17.7
2022-01-29,USA,NLD,650,579,71,Tourist,14.8
2022-01-29,JPN,JOR,686,639,47,Family,26.6
2022-01-29,AUS,TUR,690,517,173,Family,3.1
2022-01-29,GBR,PRT,53,46,7,Business,20.2
2022-01-29,USA,CYP,746,559,187,Business,24.8
2022-01-29,USA,DEU,43,34,9,Transit,20.7
2022-01-29,DEU,ISR,407,364,43,Transit,23.3
2022-01-29,CAN,PRT,607,455,152,Business,23.5
2022-01-29,CAN,ARE,237,177,60,Business,23.9
2022-01-29,FRA,ISR,343,295,48,Tourist,11.1
2022-01-29,JPN,TUR,82,77,5,Family,17.0
2022-01-29,FRA,ITA,207,182,25,Tourist,4.6
2022-01-30,IND,USA,409,373,36,Business,26.8
2022-01-30,CHN,TUR,23,22,1,Family,18.6
2022-01-30,GBR,EGY,702,680,22,Tourist,27.3
2022-01-31,CAN,POL,120,117,3,Family,4.1
2022-01-31,NLD,POL,764,594,170,Tourist,23.7
2022-01-31,IND,USA,109,102,7,Transit,11.7
2022-01-31,IND,GBR,351,311,40,Transit,20.0
2022-01-31,CHN,SAU,785,609,176,Family,19.3
2022-01-31,IND,ROU,624,568,56,Transit,25.8
2022-01-31,DEU,ITA,187,152,35,Business,13.3
2022-01-31,JPN,POL,389,324,65,Business,10.9
2022-02-01,CAN,POL,125,93,32,Business,24.9
2022-02-01,AUS,PRT,771,680,91,Family,11.4
2022-02-01,CHN,FRA,523,482,41,Transit,19.6
2022-02-01,IND,JOR,379,357,22,Transit,18.4
2022-02-01,JPN,POL,243,190,53,Family,23.1
2022-02-01,FRA,GRC,208,167,41,Tourist,15.4
2022-02-01,CAN,SAU,608,575,33,Family,24.3
2022-02-01,AUS,ESP,669,629,40,Business,13.1
2022-02-01,USA,ROU,625,605,20,Business,27.7
2022-02-01,DEU,ROU,433,385,48,Business,18.5
2022-02-02,JPN,ESP,307,277,30,Transit,3.6
2022-02-02,FRA,GRC,784,684,100,Family,7.4
2022-02-02,IND,MDA,297,269,28,Business,15.2
2022-02-02,FRA,FRA,419,389,30,Transit,17.0
2022-02-02,DEU,LBN,784,757,27,Transit,17.1
2022-02-03,GBR,DEU,28,25,3,Family,18.6
2022-02-03,GBR,ARE,412,354,58,Tourist,13.8
2022-02-03,CAN,LBN,628,505,123,Transit,23.7
2022-02-03,IND,JOR,211,158,53,Family,11.4
2022-02-03,IND,GBR,393,385,8,Tourist,10.6
2022-02-04,CAN,ITA,552,463,89,Family,9.7
2022-02-04,IND,DEU,639,598,41,Tourist,23.7
2022-02-04,GBR,SAU,337,252,85,Business,17.1
2022-02-04,CAN,ESP,713,626,87,Tourist,7.7
2022-02-04,FRA,ITA,463,410,53,Transit,10.8
2022-02-04,CAN,ROU,140,121,19,Family,5.6
2022-02-05,CAN,FRA,734,589,145,Tourist,8.8
2022-02-05,CAN,PRT,113,93,20,Family,16.7
2022-02-05,AUS,ARE,166,127,39,Tourist,12.2
2022-02-05,JPN,JOR,308,270,38,Tourist,6.6
2022-02-05,IND,FRA,364,287,77,Business,17.8
2022-02-05,DEU,ESP,222,166,56,Family,26.6
2022-02-05,AUS,DEU,420,329,91,Transit,4.8
2022-02-05,AUS,NLD,164,150,14,Transit,25.2
2022-02-05,USA,SAU,287,236,51,Transit,25.9
2022-02-05,FRA,TUR,542,464,78,Transit,11.4
2022-02-05,FRA,RUS,606,581,25,Transit,22.2
2022-02-05,GBR,DEU,664,554,110,Business,27.9
2022-02-06,CAN,ITA,404,303,101,Tourist,9.0
2022-02-06,GBR,USA,374,326,48,Business,13.1
2022-02-06,GBR,SAU,455,388,67,Family,16.3
2022-02-06,GBR,ITA,750,636,114,Business,26.3
2022-02-06,AUS,LBN,338,276,62,Transit,19.8
2022-02-06,GBR,TUR,712,643,69,Family,23.2
2022-02-06,AUS,NLD,509,467,42,Transit,7.3
2022-02-06,DEU,MDA,421,362,59,Family,12.5
2022-02-07,IND,USA,669,501,168,Business,12.8
2022-02-07,DEU,TUR,228,171,57,Business,10.8
2022-02-07,CHN,GBR,429,371,58,Business,8.2
2022-02-07,FRA,UKR,51,44,7,Family,17.6
2022-02-08,CHN,ISR,242,181,61,Business,16.8
2022-02-08,IND,ESP,314,307,7,Family,21.8
2022-02-08,CHN,ARE,624,468,156,Family,25.4
2022-02-08,NLD,ESP,432,370,62,Family,11.3
2022-02-08,AUS,ARE,758,668,90,Business,7.7
2022-02-08,AUS,UKR,597,546,51,Transit,26.2
2022-02-08,GBR,NLD,602,531,71,Transit,5.0
2022-02-08,JPN,PRT,123,105,18,Family,26.1
2022-02-09,GBR,ESP,131,117,14,Family,16.0
2022-02-09,FRA,JOR,425,380,45,Business,19.8
2022-02-09,USA,MDA,55,52,3,Transit,24.7
2022-02-10,JPN,LBN,288,278,10,Family,3.5
2022-02-10,CHN,TUR,251,188,63,Family,9.8
2022-02-10,IND,ISR,635,534,101,Business,16.0
2022-02-10,USA,USA,143,107,36,Family,6.4
2022-02-10,IND,USA,639,479,160,Tourist,22.1
2022-02-10,GBR,DEU,366,337,29,Tourist,15.3
2022-02-10,DEU,NLD,209,167,42,Business,23.0
2022-02-10,CHN,FRA,624,597,27,Business,22.4
2022-02-11,FRA,RUS,210,178,32,Tourist,11.4
2022-02-11,DEU,UKR,50,40,10,Tourist,12.6
2022-02-11,USA,POL,414,365,49,Business,5.2
2022-02-11,FRA,NLD,300,244,56,Tourist,12.6
2022-02-12,FRA,ARE,79,59,20,Business,19.0
2022-02-12,DEU,JOR,53,45,8,Tourist,7.5
2022-02-12,IND,ARE,607,528,79,Transit,5.8
2022-02-12,USA,NLD,501,448,53,Family,8.2
2022-02-12,DEU,EGY,402,305,97,Family,20.0
2022-02-12,DEU,GRC,688,605,83,Business,26.6
2022-02-12,IND,POL,502,409,93,Business,4.2
2022-02-13,IND,RUS,390,353,37,Business,27.8
2022-02-13,AUS,ESP,527,502,25,Tourist,7.1
2022-02-13,DEU,CYP,579,548,31,Transit,12.8
2022-02-13,IND,EGY,415,311,104,Family,22.5
2022-02-13,USA,JOR,574,538,36,Business,15.2
2022-02-13,AUS,THA,666,546,120,Tourist,27.9
2022-02-13,DEU,RUS,655,491,164,Family,22.7
2022-02-13,JPN,GRC,296,249,47,Family,21.1
2022-02-13,USA,DEU,756,567,189,Tourist,5.5
2022-02-13,DEU,SAU,389,348,41,Tourist,16.5
2022-02-13,IND,DEU,366,296,70,Tourist,27.3
2022-02-13,IND,THA,336,252,84,Transit,22.7
2022-02-14,JPN,GBR,510,454,56,Transit,5.6
2022-02-14,FRA,ITA,686,623,63,Tourist,25.2
2022-02-14,IND,NLD,785,760,25,Family,25.7
2022-02-14,AUS,ROU,439,329,110,Family,18.6
2022-02-15,FRA,ESP,195,162,33,Tourist,4.8
2022-02-15,AUS,ROU,508,491,17,Family,20.2
2022-02-15,FRA,MDA,650,487,163,Family,6.2
2022-02-16,JPN,TUR,245,240,5,Family,26.9
2022-02-16,USA,SAU,483,422,61,Family,15.6
2022-02-16,DEU,EGY,448,410,38,Family,16.4
2022-02-16,CAN,ROU,737,663,74,Tourist,13.7
2022-02-16,JPN,POL,106,100,6,Transit,13.9
2022-02-16,NLD,JOR,533,514,19,Transit,11.7
2022-02-16,NLD,THA,244,183,61,Business,21.2
2022-02-17,CHN,ARE,161,120,41,Tourist,16.1
2022-02-17,USA,UKR,628,471,157,Tourist,10.0
2022-02-17,CHN,ARE,345,258,87,Tourist,5.7
2022-02-17,GBR,FRA,581,496,85,Transit,7.8
2022-02-17,JPN,UKR,385,288,97,Family,24.2
2022-02-17,FRA,ITA,258,223,35,Transit,6.7
2022-02-17,JPN,ESP,502,471,31,Transit,22.1
2022-02-17,DEU,MDA,334,296,38,Family,23.4
2022-02-17,DEU,RUS,782,766,16,Transit,20.6
2022-02-17,GBR,MDA,422,383,39,Business,22.6
2022-02-17,JPN,JOR,310,272,38,Transit,6.5
2022-02-18,IND,JOR,259,212,47,Business,22.5
2022-02-18,DEU,THA,751,593,158,Business,15.0
2022-02-18,USA,JOR,342,326,16,Tourist,11.8
2022-02-18,FRA,ROU,186,161,25,Tourist,17.3
2022-02-18,NLD,THA,272,266,6,Business,15.8
2022-02-18,GBR,PRT,446,391,55,Tourist,11.3
2022-02-18,AUS,ITA,212,159,53,Family,19.8
2022-02-19,DEU,USA,381,309,72,Family,5.5
2022-02-19,AUS,ITA,220,165,55,Business,20.1
2022-02-19,AUS,THA,515,478,37,Tourist,21.5
2022-02-19,CHN,ITA,605,563,42,Transit,6.4
2022-02-19,JPN,PRT,611,458,153,Business,25.5
2022-02-19,JPN,GRC,157,134,23,Tourist,20.6
2022-02-20,JPN,THA,328,302,26,Transit,24.5
2022-02-20,GBR,GRC,35,26,9,Business,19.2
2022-02-20,JPN,TUR,294,256,38,Business,27.6
2022-02-20,DEU,FRA,515,418,97,Family,13.5
2022-02-20,IND,ISR,620,548,72,Family,25.7
2022-02-20,FRA,ISR,594,545,49,Transit,15.9
2022-02-20,FRA,FRA,189,167,22,Business,27.5
2022-02-20,USA,DEU,99,92,7,Transit,9.5
2022-02-20,USA,DEU,712,682,30,Family,22.0
2022-02-20,DEU,THA,125,114,11,Transit,18.3
2022-02-20,JPN,ITA,753,705,48,Family,13.5
2022-02-20,IND,ISR,411,329,82,Business,27.9
2022-02-21,USA,SAU,635,566,69,Tourist,21.0
2022-02-21,CAN,ITA,95,88,7,Tourist,13.2
2022-02-21,FRA,ISR,519,431,88,Family,9.0
2022-02-21,CHN,GBR,636,571,65,Family,6.6
2022-02-21,CHN,CYP,55,50,5,Family,17.5
2022-02-21,CAN,FRA,436,411,25,Transit,14.9
2022-02-21,CAN,EGY,614,550,64,Business,19.5
2022-02-21,USA,EGY,705,607,98,Tourist,10.9
2022-02-21,GBR,TUR,471,356,115,Business,13.7
2022-02-21,CAN,ITA,94,86,8,Tourist,8.9
2022-02-21,GBR,USA,630,573,57,Tourist,27.8
2022-02-21,CAN,SAU,589,506,83,Tourist,25.3
2022-02-22,CAN,TUR,316,283,33,Transit,12.5
2022-02-22,NLD,JOR,403,394,9,Family,14.9
2022-02-22,GBR,GBR,230,225,5,Transit,13.8
2022-02-22,JPN,RUS,228,200,28,Family,18.5
2022-02-22,DEU,POL,713,683,30,Transit,14.0
2022-02-22,GBR,EGY,132,101,31,Business,14.9
2022-02-22,CAN,USA,535,508,27,Transit,17.4
2022-02-22,USA,THA,608,456,152,Family,21.4
2022-02-22,FRA,THA,658,577,81,Family,18.3
2022-02-22,USA,MDA,646,582,64,Business,13.9
2022-02-22,CAN,USA,511,383,128,Family,23.3
2022-02-22,AUS,ROU,701,570,131,Family,11.2
2022-02-22,FRA,PRT,183,170,13,Tourist,19.5
2022-02-23,GBR,CYP,646,555,91,Business,22.0
2022-02-23,CAN,TUR,722,653,69,Tourist,27.5
2022-02-23,CAN,MDA,547,534,13,Tourist,20.7
2022-02-23,GBR,UKR,629,525,104,Family,27.7
2022-02-23,IND,GBR,342,256,86,Family,10.7
2022-02-24,IND,JOR,263,215,48,Business,26.6
2022-02-24,USA,NLD,51,43,8,Transit,27.4
2022-02-24,JPN,JOR,199,169,30,Tourist,26.6
2022-02-24,IND,ITA,465,370,95,Transit,25.8
2022-02-24,DEU,PRT,588,490,98,Family,20.7
2022-02-24,AUS,MDA,265,227,38,Tourist,5.0
2022-02-24,NLD,CYP,424,415,9,Transit,9.3
2022-02-24,NLD,PRT,793,707,86,Transit,6.5
2022-02-24,AUS,NLD,577,527,50,Family,8.3
2022-02-24,DEU,GRC,699,655,44,Transit,17.1
2022-02-24,JPN,ISR,469,351,118,Transit,16.1
2022-02-24,JPN,ITA,248,240,8,Tourist,3.9
2022-02-24,JPN,ISR,142,139,3,Tourist,21.4
2022-02-25,CHN,ROU,470,453,17,Transit,18.9
2022-02-25,CAN,NLD,547,471,76,Business,9.7
2022-02-25,AUS,CYP,194,163,31,Transit,13.1
2022-02-25,FRA,GBR,535,488,47,Tourist,11.8
2022-02-25,GBR,SAU,781,598,183,Business,17.7
2022-02-25,GBR,ISR,732,656,76,Tourist,24.1
2022-02-25,JPN,GRC,26,24,2,Family,24.4
2022-02-25,NLD,LBN,109,81,28,Tourist,14.5
2022-02-25,JPN,DEU,308,241,67,Tourist,26.0
2022-02-25,GBR,DEU,43,34,9,Family,5.3
2022-02-25,FRA,THA,422,413,9,Family,18.4
2022-02-26,GBR,RUS,282,240,42,Family,20.7
2022-02-26,USA,GRC,80,77,3,Family,20.7
2022-02-26,USA,PRT,207,164,43,Family,13.8
2022-02-26,USA,GBR,87,69,18,Transit,3.3
2022-02-26,GBR,ARE,284,266,18,Family,16.2
2022-02-27,AUS,GBR,81,68,13,Tourist,14.8
2022-02-27,DEU,DEU,103,87,16,Tourist,26.0
2022-02-27,USA,ITA,427,340,87,Business,25.1
2022-02-27,CHN,EGY,223,213,10,Transit,19.0
2022-02-27,CAN,PRT,741,595,146,Business,10.4
2022-02-27,IND,NLD,745,724,21,Tourist,12.1
2022-02-27,IND,DEU,730,694,36,Transit,23.0
2022-02-27,CAN,POL,487,410,77,Business,13.1
2022-02-28,DEU,DEU,90,84,6,Business,12.2
2022-02-28,GBR,ITA,288,257,31,Business,6.2
2022-02-28,AUS,FRA,473,354,119,Transit,20.7
2022-02-28,JPN,CYP,793,710,83,Transit,27.8
2022-02-28,IND,ARE,312,282,30,Tourist,6.9
2022-02-28,NLD,THA,474,427,47,Transit,19.6
2022-02-28,CAN,ROU,65,60,5,Business,22.0
2022-02-28,DEU,JOR,614,592,22,Family,4.9
2022-02-28,USA,ARE,742,666,76,Family,17.6
2022-02-28,CHN,TUR,243,202,41,Family,9.4
2022-02-28,CAN,NLD,343,257,86,Family,4.1
2022-03-01,NLD,USA,633,500,133,Transit,12.9
2022-03-01,CHN,FRA,91,86,5,Family,6.8
2022-03-01,GBR,SAU,407,322,85,Business,4.6
2022-03-01,JPN,CYP,351,283,68,Tourist,17.9
2022-03-01,NLD,FRA,439,343,96,Family,15.0
2022-03-02,IND,ROU,629,474,155,Transit,25.4
2022-03-02,CHN,ISR,442,380,62,Business,13.5
2022-03-02,USA,ITA,759,569,190,Tourist,25.6
2022-03-02,GBR,ISR,538,462,76,Tourist,5.4
2022-03-02,AUS,GBR,232,174,58,Business,11.7
2022-03-02,CAN,NLD,322,263,59,Tourist,5.6
2022-03-02,FRA,MDA,175,166,9,Transit,20.4
2022-03-02,DEU,LBN,360,314,46,Business,17.3
2022-03-02,DEU,ARE,735,674,61,Family,7.0
2022-03-03,GBR,PRT,590,442,148,Family,27.7
2022-03-03,GBR,GBR,63,49,14,Transit,16.4
2022-03-03,IND,ROU,696,585,111,Family,25.7
2022-03-03,FRA,ESP,46,44,2,Family,21.2
2022-03-03,NLD,EGY,183,166,17,Family,18.1
2022-03-04,FRA,ARE,736,552,184,Tourist,10.6
2022-03-04,CAN,SAU,513,456,57,Business,8.3
2022-03-04,AUS,CYP,645,514,131,Family,19.4
2022-03-04,JPN,CYP,457,384,73,Tourist,11.0
2022-03-04,JPN,GBR,632,546,86,Tourist,23.8
2022-03-05,DEU,ITA,324,280,44,Business,8.5
2022-03-05,NLD,LBN,658,632,26,Tourist,19.2
2022-03-05,FRA,GBR,363,327,36,Business,6.1
2022-03-05,FRA,ESP,413,376,37,Business,11.7
