date,origin_country,destination_id,route,flights_count,seat_capacity,load_factor,avg_airfare,airline
2022-01-04,IND,DEU,IND-DEU,3,480.0,0.7261,192.72,UA
2022-01-04,CHN,NLD,CHN-NLD,11,2046.0,0.5105,208.51,AA
2022-01-04,DEU,ESP,DEU-ESP,3,555.0,0.574,195.68,DL
2022-01-04,GBR,THA,GBR-THA,4,624.0,0.5268,448.36,UA
2022-01-04,FRA,ISR,FRA-ISR,7,1106.0,0.6622,310.58,KL
2022-01-04,FRA,GBR,FRA-GBR,10,1990.0,0.6278,447.8,AA
2022-01-04,USA,POL,USA-POL,2,328.0,0.5437,606.03,KL
2022-01-04,NLD,NLD,NLD-NLD,4,780.0,0.6256,267.72,BA
2022-01-04,CAN,JOR,CAN-JOR,8,1232.0,0.7511,425.59,KL
2022-01-04,AUS,UKR,AUS-UKR,3,420.0,0.6892,438.23,AF
2022-01-04,DEU,LBN,DEU-LBN,4,616.0,0.7477,391.39,LH
2022-01-04,IND,USA,IND-USA,4,704.0,0.735,433.58,EK
2022-01-04,FRA,ISR,FRA-ISR,2,336.0,0.5133,366.89,AA
2022-01-04,DEU,GRC,DEU-GRC,7,1281.0,0.9001,357.53,LH
2022-01-04,CHN,THA,CHN-THA,11,1969.0,0.5828,481.6,LH
2022-01-04,FRA,POL,FRA-POL,1,190.0,0.6557,212.73,DL
2022-01-04,CHN,JOR,CHN-JOR,5,975.0,0.816,467.36,TK
2022-01-04,FRA,FRA,FRA-FRA,6,1134.0,0.6512,508.12,QR
2022-01-04,DEU,JOR,DEU-JOR,2,314.0,0.4893,481.96,UA
2022-01-04,CHN,CYP,CHN-CYP,10,1740.0,0.5765,317.39,BA
2022-01-04,USA,LBN,USA-LBN,7,1113.0,0.5729,375.45,KL
2022-01-04,CHN,TUR,CHN-TUR,9,1422.0,0.6675,332.47,AF
2022-01-04,AUS,FRA,AUS-FRA,9,1332.0,0.858,431.67,TK
2022-01-05,FRA,MDA,FRA-MDA,10,1450.0,0.6836,236.34,AA
2022-01-05,CAN,ARE,CAN-ARE,1,174.0,0.5612,310.25,BA
2022-01-05,IND,SAU,IND-SAU,1,144.0,0.5344,212.11,EK
2022-01-05,IND,TUR,IND-TUR,6,990.0,0.8381,401.14,QR
2022-01-05,GBR,JOR,GBR-JOR,1,199.0,0.506,316.68,UA
2022-01-05,USA,POL,USA-POL,3,582.0,0.6173,575.37,QR
2022-01-05,NLD,GRC,NLD-GRC,9,1701.0,0.8327,576.94,DL
2022-01-05,NLD,POL,NLD-POL,8,1448.0,0.7494,174.22,EK
2022-01-05,FRA,FRA,FRA-FRA,1,144.0,0.4947,475.96,QR
2022-01-05,IND,LBN,IND-LBN,6,1158.0,0.4579,169.28,AA
2022-01-05,CAN,ISR,CAN-ISR,8,1248.0,0.5227,182.06,AF
2022-01-05,AUS,RUS,AUS-RUS,1,175.0,0.7032,301.61,KL
2022-01-05,USA,FRA,USA-FRA,10,1710.0,0.6915,244.66,LH
2022-01-05,NLD,POL,NLD-POL,4,780.0,0.6831,215.32,DL
2022-01-05,CHN,ITA,CHN-ITA,6,900.0,0.669,554.18,BA
2022-01-05,IND,ESP,IND-ESP,6,918.0,0.8336,495.35,QR
2022-01-05,FRA,POL,FRA-POL,1,141.0,0.45,218.16,EK
2022-01-05,FRA,THA,FRA-THA,9,1755.0,0.45,363.07,TK
2022-01-05,FRA,EGY,FRA-EGY,2,386.0,0.6554,497.39,TK
2022-01-05,IND,LBN,IND-LBN,2,388.0,0.733,161.57,TK
2022-01-05,USA,GRC,USA-GRC,4,640.0,0.6912,350.99,TK
2022-01-05,CHN,UKR,CHN-UKR,8,1560.0,0.4911,190.98,BA
2022-01-05,GBR,GBR,GBR-GBR,10,1510.0,0.6348,548.24,BA
2022-01-05,AUS,LBN,AUS-LBN,1,199.0,0.805,415.59,UA
2022-01-05,USA,NLD,USA-NLD,10,1750.0,0.5688,589.75,KL
2022-01-05,CHN,USA,CHN-USA,2,306.0,0.6341,561.03,EK
2022-01-05,DEU,ARE,DEU-ARE,11,1617.0,0.7693,488.49,BA
2022-01-06,IND,ROU,IND-ROU,4,656.0,0.7136,206.27,UA
2022-01-06,CHN,EGY,CHN-EGY,10,1760.0,0.5304,375.84,EK
2022-01-06,DEU,ITA,DEU-ITA,6,1002.0,0.7604,266.11,AA
2022-01-06,CAN,THA,CAN-THA,8,1160.0,0.8353,496.91,AA
2022-01-06,FRA,SAU,FRA-SAU,6,1020.0,0.7965,646.69,AF
2022-01-06,CHN,CYP,CHN-CYP,11,1969.0,0.6061,330.01,LH
2022-01-06,USA,NLD,USA-NLD,8,1240.0,0.5394,504.01,BA
2022-01-06,CAN,DEU,CAN-DEU,2,298.0,0.7826,199.69,UA
2022-01-06,CHN,JOR,CHN-JOR,5,970.0,0.6749,412.57,AA
2022-01-06,JPN,LBN,JPN-LBN,10,1860.0,0.6333,496.55,TK
2022-01-06,CAN,ITA,CAN-ITA,9,1476.0,0.7233,196.99,DL
2022-01-06,IND,LBN,IND-LBN,9,1368.0,0.7159,208.48,AF
2022-01-06,JPN,ITA,JPN-ITA,2,344.0,0.754,443.13,AF
2022-01-06,IND,POL,IND-POL,1,158.0,0.8809,226.23,UA
2022-01-06,FRA,POL,FRA-POL,4,668.0,0.45,239.0,KL
2022-01-06,AUS,ARE,AUS-ARE,5,895.0,0.7669,619.11,DL
2022-01-06,FRA,ISR,FRA-ISR,5,975.0,0.6054,276.92,AA
2022-01-06,GBR,EGY,GBR-EGY,3,450.0,0.7595,332.71,TK
2022-01-06,CAN,USA,CAN-USA,11,1672.0,0.6536,292.7,TK
2022-01-06,GBR,EGY,GBR-EGY,6,1152.0,0.6002,333.34,EK
2022-01-06,JPN,FRA,JPN-FRA,11,2123.0,0.6688,458.67,AF
2022-01-06,CAN,SAU,CAN-SAU,1,174.0,0.6249,408.07,DL
2022-01-06,DEU,RUS,DEU-RUS,3,591.0,0.45,187.89,EK
2022-01-06,FRA,FRA,FRA-FRA,10,1680.0,0.5019,423.93,EK
2022-01-07,NLD,GBR,NLD-GBR,5,860.0,0.8347,330.16,AF
2022-01-07,IND,JOR,IND-JOR,11,2046.0,0.696,231.82,TK
2022-01-07,USA,TUR,USA-TUR,1,176.0,0.6419,200.01,LH
2022-01-07,JPN,EGY,JPN-EGY,11,1815.0,0.6411,468.1,QR
2022-01-07,NLD,ESP,NLD-ESP,3,474.0,0.639,624.11,DL
2022-01-07,GBR,UKR,GBR-UKR,7,1344.0,0.8887,320.66,EK
2022-01-07,JPN,JOR,JPN-JOR,7,1057.0,0.7889,247.8,LH
2022-01-07,DEU,GRC,DEU-GRC,10,1770.0,0.7816,325.36,AF
2022-01-07,JPN,RUS,JPN-RUS,5,825.0,0.9489,217.49,QR
2022-01-07,FRA,ISR,FRA-ISR,8,1152.0,0.6507,353.81,EK
2022-01-07,GBR,UKR,GBR-UKR,2,310.0,0.7306,406.15,KL
2022-01-07,IND,DEU,IND-DEU,3,465.0,0.9427,215.11,UA
2022-01-07,USA,MDA,USA-MDA,5,795.0,0.7185,371.83,AA
2022-01-07,NLD,POL,NLD-POL,2,382.0,0.6491,216.92,DL
2022-01-07,AUS,ROU,AUS-ROU,1,199.0,0.6386,225.45,AA
2022-01-07,DEU,PRT,DEU-PRT,6,912.0,0.4745,229.91,UA
2022-01-07,AUS,TUR,AUS-TUR,4,748.0,0.7891,399.04,QR
2022-01-07,USA,DEU,USA-DEU,6,1014.0,0.8066,201.8,DL
2022-01-07,USA,EGY,USA-EGY,10,1870.0,0.45,466.05,TK
2022-01-07,USA,TUR,USA-TUR,3,486.0,0.7384,191.22,QR
2022-01-07,IND,GRC,IND-GRC,5,725.0,0.6201,339.03,AA
2022-01-07,NLD,FRA,NLD-FRA,4,656.0,0.686,340.73,BA
2022-01-07,AUS,EGY,AUS-EGY,9,1521.0,0.7482,328.06,UA
2022-01-07,GBR,CYP,GBR-CYP,6,1080.0,0.5452,174.23,AA
2022-01-07,GBR,JOR,GBR-JOR,7,1288.0,0.5632,384.18,AF
2022-01-08,CHN,USA,CHN-USA,9,1728.0,0.6257,603.37,KL
2022-01-08,FRA,ARE,FRA-ARE,6,924.0,0.5584,516.14,AA
2022-01-08,CAN,JOR,CAN-JOR,6,1098.0,0.4705,414.29,BA
2022-01-08,USA,PRT,USA-PRT,8,1376.0,0.95,407.1,BA
2022-01-08,JPN,GBR,JPN-GBR,3,540.0,0.45,503.13,AF
2022-01-08,CHN,USA,CHN-USA,5,940.0,0.5872,531.04,UA
2022-01-08,IND,THA,IND-THA,1,153.0,0.45,324.78,AF
2022-01-08,CHN,UKR,CHN-UKR,1,190.0,0.4822,215.63,QR
2022-01-08,JPN,DEU,JPN-DEU,11,1738.0,0.9221,628.73,AF
2022-01-08,DEU,ROU,DEU-ROU,7,1092.0,0.614,256.66,AF
2022-01-08,GBR,USA,GBR-USA,4,632.0,0.752,237.15,AA
2022-01-08,NLD,TUR,NLD-TUR,8,1136.0,0.7417,281.89,LH
2022-01-08,CAN,DEU,CAN-DEU,3,432.0,0.4687,176.57,TK
2022-01-08,CHN,DEU,CHN-DEU,3,504.0,0.7598,529.98,LH
2022-01-08,GBR,TUR,GBR-TUR,11,1716.0,0.5366,235.09,DL
2022-01-09,NLD,RUS,NLD-RUS,10,1850.0,0.45,481.57,BA
2022-01-09,JPN,FRA,JPN-FRA,6,882.0,0.6707,549.7,KL
2022-01-09,USA,GBR,USA-GBR,4,596.0,0.636,610.26,AF
2022-01-09,CAN,GBR,CAN-GBR,4,564.0,0.5391,252.41,TK
2022-01-09,DEU,DEU,DEU-DEU,8,1352.0,0.4777,384.93,KL
2022-01-09,IND,MDA,IND-MDA,5,745.0,0.588,223.39,AF
2022-01-09,CHN,JOR,CHN-JOR,11,2123.0,0.5537,439.7,AF
2022-01-09,GBR,ISR,GBR-ISR,3,528.0,0.45,265.27,LH
2022-01-09,NLD,PRT,NLD-PRT,10,1520.0,0.644,344.96,DL
2022-01-09,USA,MDA,USA-MDA,5,755.0,0.5843,385.57,AA
2022-01-09,GBR,ESP,GBR-ESP,8,1544.0,0.6132,522.72,AF
2022-01-09,JPN,USA,JPN-USA,3,501.0,0.6289,408.07,LH
2022-01-09,CHN,ITA,CHN-ITA,5,880.0,0.8772,563.04,BA
2022-01-09,NLD,POL,NLD-POL,10,1970.0,0.8373,174.71,BA
2022-01-09,NLD,SAU,NLD-SAU,11,1837.0,0.7725,321.88,TK
2022-01-09,AUS,NLD,AUS-NLD,3,582.0,0.5299,607.24,QR
2022-01-09,IND,ROU,IND-ROU,1,141.0,0.7758,206.05,EK
2022-01-09,CHN,ESP,CHN-ESP,11,1694.0,0.5947,461.1,EK
2022-01-09,USA,ESP,USA-ESP,10,1620.0,0.8419,495.16,DL
2022-01-09,CHN,ISR,CHN-ISR,2,398.0,0.45,407.44,BA
2022-01-09,GBR,UKR,GBR-UKR,4,576.0,0.6787,377.89,AF
2022-01-09,DEU,FRA,DEU-FRA,8,1504.0,0.6513,361.62,AA
2022-01-09,AUS,THA,AUS-THA,10,1670.0,0.8068,446.55,DL
2022-01-10,FRA,ARE,FRA-ARE,10,1460.0,0.57,646.4,QR
2022-01-10,DEU,SAU,DEU-SAU,9,1791.0,0.872,351.02,LH
2022-01-10,DEU,POL,DEU-POL,1,145.0,0.74,399.54,DL
2022-01-10,DEU,ARE,DEU-ARE,2,286.0,0.7394,511.02,LH
2022-01-10,IND,JOR,IND-JOR,6,912.0,0.95,200.84,LH
2022-01-10,JPN,USA,JPN-USA,7,1050.0,0.7399,373.55,TK
2022-01-10,GBR,POL,GBR-POL,4,712.0,0.6866,239.59,EK
2022-01-10,JPN,JOR,JPN-JOR,3,576.0,0.6133,243.48,AA
2022-01-10,CHN,EGY,CHN-EGY,8,1264.0,0.7481,471.93,KL
2022-01-10,IND,SAU,IND-SAU,7,1344.0,0.5625,231.4,KL
2022-01-10,CHN,JOR,CHN-JOR,1,155.0,0.7765,488.83,EK
2022-01-10,CAN,THA,CAN-THA,11,1694.0,0.6534,531.79,QR
2022-01-11,CHN,EGY,CHN-EGY,10,1760.0,0.5423,384.09,UA
2022-01-11,FRA,ROU,FRA-ROU,5,900.0,0.7761,380.62,EK
2022-01-11,CHN,ISR,CHN-ISR,11,2123.0,0.5386,450.27,AA
2022-01-11,NLD,ROU,NLD-ROU,8,1432.0,0.7314,581.95,KL
2022-01-11,NLD,GRC,NLD-GRC,10,1990.0,0.8708,480.29,QR
2022-01-11,FRA,LBN,FRA-LBN,7,1148.0,0.8828,355.39,BA
2022-01-11,GBR,SAU,GBR-SAU,7,1155.0,0.7663,350.97,AF
2022-01-11,DEU,RUS,DEU-RUS,4,788.0,0.6096,183.03,LH
2022-01-11,GBR,SAU,GBR-SAU,3,459.0,0.6052,395.14,UA
2022-01-11,DEU,FRA,DEU-FRA,6,1056.0,0.7823,366.23,TK
2022-01-11,GBR,USA,GBR-USA,2,378.0,0.7364,242.87,DL
2022-01-11,USA,ISR,USA-ISR,6,942.0,0.6799,330.25,TK
2022-01-11,CHN,PRT,CHN-PRT,3,486.0,0.5313,445.54,UA
2022-01-12,NLD,ROU,NLD-ROU,10,1410.0,0.7062,532.87,TK
2022-01-12,JPN,GRC,JPN-GRC,1,146.0,0.7374,492.82,TK
2022-01-12,JPN,GRC,JPN-GRC,10,1930.0,0.741,524.5,AA
2022-01-12,CHN,LBN,CHN-LBN,7,1267.0,0.7607,452.19,TK
2022-01-12,NLD,TUR,NLD-TUR,5,860.0,0.5444,290.81,EK
2022-01-12,AUS,ARE,AUS-ARE,5,785.0,0.7006,501.51,LH
2022-01-12,JPN,THA,JPN-THA,2,330.0,0.566,532.13,AF
2022-01-12,IND,GRC,IND-GRC,8,1256.0,0.841,390.11,KL
2022-01-12,IND,CYP,IND-CYP,2,308.0,0.8781,459.22,UA
2022-01-13,JPN,FRA,JPN-FRA,9,1620.0,0.45,427.13,QR
2022-01-13,AUS,POL,AUS-POL,8,1496.0,0.8074,351.21,BA
2022-01-13,IND,GRC,IND-GRC,2,378.0,0.6185,385.73,AA
2022-01-13,IND,ITA,IND-ITA,6,906.0,0.8486,580.09,UA
2022-01-13,USA,ARE,USA-ARE,9,1431.0,0.8288,534.61,DL
2022-01-13,FRA,UKR,FRA-UKR,5,900.0,0.788,202.54,KL
2022-01-13,FRA,RUS,FRA-RUS,3,486.0,0.45,159.85,DL
2022-01-13,AUS,FRA,AUS-FRA,4,796.0,0.6916,503.45,DL
2022-01-13,JPN,FRA,JPN-FRA,1,199.0,0.7219,485.89,AF
2022-01-13,USA,POL,USA-POL,6,852.0,0.9085,564.61,QR
2022-01-13,CAN,GRC,CAN-GRC,5,790.0,0.8061,517.59,AF
2022-01-13,FRA,UKR,FRA-UKR,7,1176.0,0.6927,194.54,KL
2022-01-13,IND,ROU,IND-ROU,7,1316.0,0.6567,219.55,DL
2022-01-13,GBR,ESP,GBR-ESP,7,1260.0,0.7996,536.6,KL
2022-01-13,GBR,SAU,GBR-SAU,3,510.0,0.8394,441.01,BA
2022-01-13,IND,NLD,IND-NLD,7,1253.0,0.45,417.06,LH
2022-01-13,JPN,ITA,JPN-ITA,2,342.0,0.5793,395.8,BA
2022-01-13,CHN,POL,CHN-POL,8,1376.0,0.6801,459.86,DL
2022-01-13,CAN,MDA,CAN-MDA,2,374.0,0.8024,622.19,AF
2022-01-13,USA,FRA,USA-FRA,1,179.0,0.45,303.19,QR
2022-01-13,CHN,FRA,CHN-FRA,2,346.0,0.7564,362.5,LH
2022-01-13,NLD,PRT,NLD-PRT,3,564.0,0.7013,339.56,AF
2022-01-13,IND,TUR,IND-TUR,10,1700.0,0.796,388.6,EK
2022-01-13,AUS,TUR,AUS-TUR,9,1746.0,0.6619,327.31,UA
2022-01-14,GBR,JOR,GBR-JOR,5,710.0,0.6552,334.96,QR
2022-01-14,GBR,PRT,GBR-PRT,9,1512.0,0.4636,403.15,EK
2022-01-14,CHN,PRT,CHN-PRT,7,1085.0,0.7383,498.54,UA
2022-01-14,CHN,UKR,CHN-UKR,6,888.0,0.606,205.11,AF
2022-01-14,GBR,ROU,GBR-ROU,1,170.0,0.5051,336.36,BA
2022-01-14,GBR,SAU,GBR-SAU,1,141.0,0.8836,411.66,KL
2022-01-14,FRA,THA,FRA-THA,4,752.0,0.6156,351.48,QR
2022-01-14,AUS,THA,AUS-THA,9,1296.0,0.5943,456.79,UA
2022-01-14,USA,POL,USA-POL,8,1416.0,0.7398,608.39,BA
2022-01-14,CAN,THA,CAN-THA,5,925.0,0.523,567.55,BA
2022-01-14,GBR,ITA,GBR-ITA,4,708.0,0.8373,228.49,QR
2022-01-14,DEU,PRT,DEU-PRT,9,1440.0,0.7764,188.19,TK
2022-01-14,IND,FRA,IND-FRA,2,284.0,0.6923,326.71,KL
2022-01-14,AUS,ARE,AUS-ARE,7,1351.0,0.6401,651.47,KL
2022-01-14,NLD,UKR,NLD-UKR,5,780.0,0.5386,348.93,AF
2022-01-14,IND,JOR,IND-JOR,2,314.0,0.6853,247.46,AF
2022-01-14,GBR,NLD,GBR-NLD,3,483.0,0.7749,480.57,KL
2022-01-14,IND,PRT,IND-PRT,2,398.0,0.5731,319.78,QR
2022-01-14,USA,ARE,USA-ARE,7,1162.0,0.6421,510.07,AA
2022-01-14,JPN,ARE,JPN-ARE,8,1320.0,0.6986,383.43,AA
2022-01-14,GBR,GBR,GBR-GBR,10,1600.0,0.8435,527.7,EK
2022-01-14,NLD,POL,NLD-POL,6,882.0,0.8368,195.65,DL
2022-01-14,GBR,ROU,GBR-ROU,3,579.0,0.6826,343.9,DL
2022-01-14,CAN,ITA,CAN-ITA,11,2112.0,0.5373,181.55,BA
2022-01-14,IND,UKR,IND-UKR,9,1269.0,0.6541,322.41,TK
2022-01-14,AUS,LBN,AUS-LBN,9,1674.0,0.6642,364.5,KL
2022-01-14,FRA,GRC,FRA-GRC,6,1074.0,0.5212,479.89,DL
2022-01-15,IND,FRA,IND-FRA,2,374.0,0.6287,315.27,KL
2022-01-15,DEU,LBN,DEU-LBN,11,1694.0,0.5448,349.07,EK
2022-01-15,JPN,GRC,JPN-GRC,3,534.0,0.499,436.18,KL
2022-01-15,DEU,TUR,DEU-TUR,9,1422.0,0.6102,457.24,AA
2022-01-15,AUS,LBN,AUS-LBN,2,340.0,0.5277,424.42,DL
2022-01-15,USA,FRA,USA-FRA,8,1176.0,0.6346,235.99,UA
2022-01-15,USA,FRA,USA-FRA,2,314.0,0.45,302.98,LH
2022-01-15,IND,ESP,IND-ESP,8,1160.0,0.5207,573.77,BA
2022-01-15,USA,PRT,USA-PRT,1,188.0,0.8174,500.09,QR
2022-01-15,GBR,GBR,GBR-GBR,7,1309.0,0.6929,633.81,EK
2022-01-15,DEU,GBR,DEU-GBR,5,720.0,0.5858,175.43,TK
2022-01-15,CHN,DEU,CHN-DEU,1,160.0,0.546,629.96,KL
2022-01-15,DEU,RUS,DEU-RUS,5,705.0,0.7392,181.57,QR
2022-01-15,IND,EGY,IND-EGY,2,386.0,0.5358,190.82,AF
2022-01-15,NLD,ITA,NLD-ITA,2,290.0,0.8908,332.15,TK
2022-01-15,GBR,RUS,GBR-RUS,4,668.0,0.6561,544.73,AA
2022-01-16,USA,GRC,USA-GRC,8,1328.0,0.7725,374.64,TK
2022-01-16,JPN,ISR,JPN-ISR,1,154.0,0.8597,397.48,BA
2022-01-16,USA,FRA,USA-FRA,11,1727.0,0.7607,241.05,LH
2022-01-16,AUS,GBR,AUS-GBR,3,426.0,0.6929,376.32,AA
2022-01-16,IND,USA,IND-USA,9,1602.0,0.7955,475.17,AA
2022-01-16,CAN,PRT,CAN-PRT,6,882.0,0.9127,190.57,DL
2022-01-16,AUS,THA,AUS-THA,5,955.0,0.8998,458.94,UA
2022-01-16,FRA,SAU,FRA-SAU,5,975.0,0.45,547.69,KL
2022-01-16,AUS,MDA,AUS-MDA,3,573.0,0.45,237.92,AF
2022-01-16,CHN,TUR,CHN-TUR,11,1848.0,0.5205,436.55,AA
2022-01-16,GBR,JOR,GBR-JOR,1,154.0,0.9309,369.83,AA
2022-01-16,GBR,NLD,GBR-NLD,5,925.0,0.8835,464.93,BA
2022-01-16,CHN,POL,CHN-POL,2,310.0,0.6582,369.53,DL
2022-01-16,NLD,LBN,NLD-LBN,11,1881.0,0.45,525.39,TK
2022-01-16,GBR,TUR,GBR-TUR,1,192.0,0.7831,225.99,TK
2022-01-16,CAN,TUR,CAN-TUR,4,796.0,0.8273,556.86,LH
2022-01-16,DEU,ROU,DEU-ROU,9,1476.0,0.9367,261.08,DL
2022-01-16,FRA,DEU,FRA-DEU,9,1449.0,0.8754,280.61,EK
2022-01-16,DEU,ISR,DEU-ISR,6,972.0,0.5557,515.98,EK
2022-01-16,FRA,NLD,FRA-NLD,9,1620.0,0.6373,506.17,TK
2022-01-16,FRA,TUR,FRA-TUR,3,450.0,0.4741,260.04,UA
2022-01-16,IND,DEU,IND-DEU,9,1665.0,0.7042,236.04,KL
2022-01-16,NLD,FRA,NLD-FRA,6,870.0,0.6766,311.25,TK
2022-01-16,JPN,GBR,JPN-GBR,2,312.0,0.5532,478.78,KL
2022-01-16,JPN,USA,JPN-USA,10,1590.0,0.6693,403.45,TK
2022-01-17,DEU,PRT,DEU-PRT,1,199.0,0.5429,239.8,EK
2022-01-17,USA,ITA,USA-ITA,3,486.0,0.5796,463.3,UA
2022-01-17,AUS,ISR,AUS-ISR,3,471.0,0.45,348.64,TK
2022-01-17,IND,PRT,IND-PRT,2,386.0,0.8383,291.0,DL
2022-01-17,NLD,UKR,NLD-UKR,4,660.0,0.7688,368.84,UA
2022-01-17,AUS,ISR,AUS-ISR,9,1440.0,0.5864,320.41,UA
2022-01-17,IND,EGY,IND-EGY,11,1870.0,0.6957,211.75,AA
2022-01-17,CAN,ROU,CAN-ROU,11,2189.0,0.6623,520.82,QR
2022-01-17,CHN,MDA,CHN-MDA,8,1208.0,0.7111,242.07,BA
2022-01-17,NLD,PRT,NLD-PRT,1,178.0,0.7462,272.24,KL
2022-01-17,JPN,USA,JPN-USA,9,1764.0,0.7586,388.54,BA
2022-01-17,AUS,UKR,AUS-UKR,10,1830.0,0.7851,404.12,EK
2022-01-17,FRA,EGY,FRA-EGY,8,1256.0,0.5442,523.36,QR
2022-01-17,USA,THA,USA-THA,10,1520.0,0.45,463.7,UA
2022-01-17,FRA,ITA,FRA-ITA,10,1480.0,0.45,467.81,QR
2022-01-17,IND,TUR,IND-TUR,9,1548.0,0.8155,507.44,KL
2022-01-17,JPN,THA,JPN-THA,6,1158.0,0.6358,554.28,LH
2022-01-17,CAN,ISR,CAN-ISR,4,740.0,0.7243,192.52,EK
2022-01-17,IND,MDA,IND-MDA,4,720.0,0.565,230.62,UA
2022-01-17,JPN,EGY,JPN-EGY,7,1218.0,0.4948,444.65,TK
2022-01-17,JPN,USA,JPN-USA,1,170.0,0.8426,458.17,BA
2022-01-17,CAN,GBR,CAN-GBR,8,1248.0,0.5845,228.7,KL
2022-01-17,CHN,SAU,CHN-SAU,9,1620.0,0.5833,322.34,BA
2022-01-17,AUS,DEU,AUS-DEU,2,352.0,0.9202,322.87,LH
2022-01-18,AUS,DEU,AUS-DEU,2,398.0,0.7344,320.32,QR
2022-01-18,IND,GBR,IND-GBR,1,191.0,0.45,579.63,AA
2022-01-18,NLD,LBN,NLD-LBN,2,296.0,0.7181,453.68,DL
2022-01-18,JPN,MDA,JPN-MDA,6,912.0,0.703,434.32,AF
2022-01-18,NLD,POL,NLD-POL,11,1760.0,0.8024,219.07,UA
2022-01-18,GBR,POL,GBR-POL,4,568.0,0.6982,222.92,BA
2022-01-18,AUS,TUR,AUS-TUR,2,344.0,0.5645,392.29,AF
